target,fighter_A_stance_Orthodox,fighter_A_stance_Southpaw,fighter_A_stance_Switch,fighter_B_stance_Orthodox,fighter_B_stance_Southpaw,fighter_B_stance_Switch,is_title_fight_True,is_male_fight_True,weight_class_featherweight,weight_class_flyweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_strawweight,weight_class_welterweight,diff_wins,diff_losses,diff_fight_age,diff_height_inches,diff_reach_inches,diff_knockdowns,diff_significant_strikes_landed,diff_significant_strikes_thrown,diff_total_strikes_landed,diff_total_strikes_thrown,diff_takedowns_landed,diff_takedowns_thrown,diff_head_strikes_landed,diff_head_strikes_thrown,diff_body_strikes_landed,diff_body_strikes_thrown,diff_leg_strikes_landed,diff_leg_strikes_thrown,diff_distance_strikes_landed,diff_distance_strikes_thrown,diff_clinch_strikes_landed,diff_clinch_strikes_thrown,diff_ground_strikes_landed,diff_ground_strikes_thrown,diff_strike_accuracy,diff_sig_strike_accuracy,diff_takedown_accuracy,diff_head_strike_ratio,diff_body_strike_ratio,diff_leg_strike_ratio,diff_fight_duration,diff_win_rate,diff_knockdown_percentage,diff_ko_rate,diff_submission_rate,diff_finish_rate
1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,-3,-10,3.0,8,1,10,19,10,19,0,0,9,19,1,0,0,0,5,8,5,11,0,0,0.17036569987389655,0.07031514740765843,-0.25,0.19939728779507787,-0.42390758412857854,-0.1567051732797589,0.6000000000000001,-0.06666666666666665,0.022099447513812154,0.46666666666666673,0.46666666666666673,0.0
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,3,5.0,4,-1,0,8,-2,6,0,2,-17,-16,-1,0,18,24,3,9,0,2,-3,-3,0.35262645914396884,0.3122037914691943,0.0,0.004753416518122444,0.07605466428995841,-0.3054070112893642,0.7142857142857142,0.0714285714285714,0.016042780748663103,0.2142857142857143,0.2142857142857143,-0.1428571428571429
1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-5,3,4,-1.0,-2,0,66,127,115,179,4,7,15,53,5,18,46,56,39,94,25,29,2,4,0.07235793513970656,0.02162218084005796,-0.06620689655172407,-0.14683069489478032,-0.03514527306249602,-0.005912645432004579,-0.625,-0.375,-0.003738317757009346,-0.375,-0.375,0.125
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-9,3,6,1.0,2,-2,-27,-50,-29,-56,-3,-4,-23,-47,0,2,-4,-5,-10,-17,-3,-5,-14,-28,0.11866094683621875,0.2545968882602547,-0.42016806722689076,0.07987860002582978,0.050303499935425544,-0.018403719488570322,-1.8,-0.4,0.0,0.6,0.6,1.0
1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-3,-2,0,-1.0,-1,0,-2,22,-12,12,11,14,9,39,-4,-5,-7,-12,-3,21,1,1,0,0,0.033753883815083374,-0.12727902646052575,0.08333333333333326,-0.20042334714465865,-0.05343181408755179,-0.06495226085390021,-0.4642857142857144,0.2142857142857143,0.0,0.0,0.0,0.17857142857142855
1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,9,7,-6,0.0,2,0,14,9,31,30,2,7,25,22,-4,-6,-7,-7,-10,-20,0,-1,24,30,-0.04307359307359304,-0.054708050530964836,0.1166666666666667,0.17225983711117648,-0.15665783534491218,-0.07732312825041704,-0.625,0.0,-0.002453144931802571,-0.25,-0.25,0.25
1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-5,0,9,3.0,0,1,43,82,47,104,-1,-3,40,79,5,5,-2,-2,10,23,6,9,27,50,0.09519605679393806,0.14605437665782495,0.5,-0.06146978021978022,0.0728021978021978,0.01751373626373627,0.8888888888888888,-0.05555555555555558,0.007211538461538462,0.3333333333333333,0.3333333333333333,-0.33333333333333337
1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,-3,-6,4,0.0,-2,0,-45,-38,-43,-35,0,-4,-4,16,5,3,-46,-57,-23,-18,-22,-20,0,0,0.09263114745256262,0.11277481994985561,0.29230769230769227,-0.005801687763713093,0.008805723720418268,0.043203082003302154,0.0952380952380949,0.33333333333333337,0.0026829939460649432,-0.38095238095238093,-0.38095238095238093,-0.5714285714285714
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-4,-4,-14,2.0,3,1,-12,-22,-15,-28,0,-8,-9,-22,1,2,-4,-2,9,5,-23,-32,2,5,-0.1956556226737446,-0.09681050656660417,0.033333333333333326,-0.0502283105022831,0.0936716187536176,0.28107916907839736,0.17857142857142838,0.1785714285714286,0.014084507042253521,-0.4642857142857143,-0.4642857142857143,-0.6071428571428571
1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,4,-3,-1.0,-3,0,17,14,32,25,1,1,4,-4,7,8,6,10,-2,1,15,7,4,6,-0.16247294492789766,-0.10033573946617425,0.0,0.11314584695879659,-0.013309352517985595,0.07946370176586004,0.08333333333333348,0.0,0.005297580117724004,-0.16666666666666669,-0.16666666666666669,-0.16666666666666669
